,Title,Year,Genres,Language,Country,Content Rating,Duration,Aspect Ratio,Budget,Gross Earnings,Director,Actor 1,Actor 2,Actor 3,Facebook Likes - Director,Facebook Likes - Actor 1,Facebook Likes - Actor 2,Facebook Likes - Actor 3,Facebook Likes - cast Total,Facebook likes - Movie,Facenumber in posters,User Votes,Reviews by Users,Reviews by Crtiics,IMDB Score
624,Glengarry Glen Ross ,1992,Crime|Drama|Mystery,English,USA,R,100,2.35,12500000.0,10725228.0,James Foley,Kevin Spacey,Al Pacino,Jude Ciccolella,164,18000,14000,99.0,32288,0,1,75675,365,120.0,7.8
625,Hoffa ,1992,Biography|Crime|Drama,English,USA,R,140,2.35,35000000.0,24276500.0,Danny DeVito,Frank Whaley,J.T. Walsh,Paul Guilfoyle,0,436,263,210.0,1394,949,2,17124,68,32.0,6.6
626,Home Alone 2: Lost in New York ,1992,Adventure|Comedy|Family,English,USA,PG,120,1.85,18000000.0,173585516.0,Chris Columbus,Macaulay Culkin,Kieran Culkin,Devin Ratray,0,3000,1000,1000.0,7860,0,2,200077,189,37.0,6.6
627,Howards End ,1992,Drama|Romance,English,UK,PG,140,2.35,,25967000.0,James Ivory,Anthony Hopkins,Vanessa Redgrave,Samuel West,133,12000,898,136.0,13180,788,3,21254,86,51.0,7.5
628,Lethal Weapon 3 ,1992,Action|Crime|Thriller,English,USA,R,121,2.35,35000000.0,144731527.0,Richard Donner,Rene Russo,Nick Chinlund,Stuart Wilson,503,808,277,94.0,1446,0,2,128010,136,68.0,6.7
629,Light Sleeper ,1992,Crime|Drama,English,USA,R,103,1.85,5000000.0,1100000.0,Paul Schrader,Dana Delany,Jane Adams,David Clennon,261,722,280,145.0,1201,247,0,3665,39,19.0,6.8
630,Malcolm X ,1992,Biography|Drama|History|Romance,English,USA,PG-13,202,1.85,33000000.0,48169908.0,Spike Lee,Denzel Washington,Delroy Lindo,Al Freeman Jr.,0,18000,848,318.0,20143,0,0,63923,156,61.0,7.7
631,Medicine Man ,1992,Adventure|Drama|Romance,English,USA,PG-13,106,2.35,40000000.0,45500797.0,John McTiernan,Lorraine Bracco,José Wilker,Sean Connery,323,472,47,0.0,519,694,2,17443,56,25.0,6.0
632,Memoirs of an Invisible Man ,1992,Comedy|Romance|Sci-Fi|Thriller,English,USA,PG-13,99,2.35,40000000.0,14358033.0,John Carpenter,Richard Epcar,Michael McKean,Patricia Heaton,0,782,658,402.0,2125,630,2,17365,66,40.0,5.9
633,My Cousin Vinny ,1992,Comedy|Crime,English,USA,R,120,1.85,11000000.0,52929168.0,Jonathan Lynn,Fred Gwynne,Bruce McGill,Lane Smith,36,886,655,633.0,3280,7000,1,82743,201,54.0,7.5
634,Patriot Games ,1992,Action|Thriller,English,USA,R,117,2.35,45000000.0,83287363.0,Phillip Noyce,Harrison Ford,Polly Walker,Patrick Bergin,176,11000,530,308.0,12757,0,1,81442,137,47.0,6.9
635,Radio Flyer ,1992,Drama,English,USA,PG-13,114,2.35,35000000.0,4651977.0,Richard Donner,Adam Baldwin,Thomas Ian Nicholas,John Heard,503,2000,864,697.0,4334,892,3,10410,71,10.0,6.9
636,Raising Cain ,1992,Crime|Drama|Thriller,English,USA,R,91,1.85,12000000.0,21370057.0,Brian De Palma,Steven Bauer,Gabrielle Carteris,Gregg Henry,0,636,330,298.0,1852,541,0,9903,80,33.0,6.0
637,Reservoir Dogs ,1992,Crime|Drama|Thriller,English,USA,R,99,2.35,1200000.0,2812029.0,Quentin Tarantino,Quentin Tarantino,Steve Buscemi,Chris Penn,16000,16000,12000,455.0,28994,19000,0,664719,931,173.0,8.4
638,Split Second ,1992,Action|Crime|Horror|Sci-Fi|Thriller,English,UK,R,96,1.85,7000000.0,5430822.0,Tony Maylam,Michael J. Pollard,Alun Armstrong,Alastair Duncan,6,206,192,38.0,493,0,0,8391,75,39.0,6.2
639,The Bodyguard ,1992,Action|Drama|Music|Romance,English,USA,R,129,1.85,25000000.0,121945720.0,Mick Jackson,Bill Cobbs,Mike Starr,DeVaughn Nixon,81,970,854,164.0,2551,0,0,89972,126,48.0,6.1
640,The Crying Game ,1992,Crime|Drama|Romance|Thriller,English,UK,R,112,2.35,2300000.0,62549000.0,Neil Jordan,Jim Broadbent,Miranda Richardson,Stephen Rea,277,1000,530,327.0,2412,0,0,41361,148,63.0,7.3
641,The Last of the Mohicans ,1992,Action|Adventure|Drama|Romance|War,English,USA,R,117,2.35,40000000.0,72455275.0,Michael Mann,Wes Studi,Terry Kinney,Eric Schweig,0,855,363,322.0,2144,0,1,113068,382,89.0,7.8
642,The Lawnmower Man ,1992,Horror|Sci-Fi,English,UK,R,140,1.85,10000000.0,32101000.0,Brett Leonard,Jeff Fahey,Austin O'Brien,Troy Evans,32,535,211,120.0,1109,0,0,27800,96,48.0,5.4
643,The Mighty Ducks ,1992,Comedy|Drama|Family|Sport,English,USA,PG,100,1.85,10000000.0,50752337.0,Stephen Herek,Lane Smith,Shaun Weiss,Elden Henson,65,633,613,577.0,3362,0,8,44502,46,22.0,6.4
644,The Muppet Christmas Carol ,1992,Comedy|Drama|Family|Fantasy|Musical,English,USA,G,89,1.85,12000000.0,27281507.0,Brian Henson,Steven Mackintosh,Jerry Nelson,Steve Whitmire,53,227,94,84.0,534,0,0,33850,147,75.0,7.7
645,Unforgiven ,1992,Drama|Western,English,USA,R,131,2.35,14400000.0,101157447.0,Clint Eastwood,Clint Eastwood,Morgan Freeman,Frances Fisher,16000,16000,11000,638.0,28544,10000,1,277505,495,131.0,8.3
646,Wayne's World ,1992,Comedy|Music,English,USA,PG-13,94,1.85,20000000.0,121697350.0,Penelope Spheeris,Tia Carrere,Lara Flynn Boyle,Kurt Fuller,122,1000,619,617.0,4263,0,2,114610,176,61.0,7.0
647,Airborne ,1993,Adventure|Comedy|Sport,English,USA,PG,91,1.85,2600000.0,2850263.0,Rob Bowman,Alanna Ubach,Jacob Vargas,Brittney Powell,38,584,399,117.0,1218,0,0,5061,70,9.0,6.2
648,Alive ,1993,Adventure|Biography|Drama|Thriller,English,USA,R,120,1.85,32000000.0,36733909.0,Frank Marshall,Illeana Douglas,Danny Nucci,Michael DeLorenzo,155,344,242,240.0,2054,0,3,38949,112,43.0,7.1
649,"Blood In, Blood Out ",1993,Crime|Drama,English,USA,R,330,1.66,35000000.0,4496583.0,Taylor Hackford,Delroy Lindo,Jesse Borrego,Raymond Cruz,138,848,674,672.0,3227,6000,2,23181,129,12.0,8.0
650,Cliffhanger ,1993,Action|Adventure|Thriller,English,USA,R,124,2.35,70000000.0,84049211.0,Renny Harlin,Sylvester Stallone,Leon,Janine Turner,212,13000,730,369.0,15229,0,1,96096,172,74.0,6.4
651,Cool Runnings ,1993,Adventure|Comedy|Family|Sport,English,USA,PG,98,1.85,15000000.0,68856263.0,Jon Turteltaub,Doug E. Doug,Leon,Malik Yoba,226,953,730,496.0,2496,0,1,69733,97,39.0,6.9
652,Dazed and Confused ,1993,Comedy,English,USA,R,102,1.85,6900000.0,7993039.0,Richard Linklater,Milla Jovovich,Adam Goldberg,Cole Hauser,0,14000,1000,787.0,18643,10000,1,120036,408,152.0,7.7
653,Ed and His Dead Mother ,1993,Comedy|Horror,English,USA,PG-13,93,1.78,1800000.0,,Jonathan Wacks,Steve Buscemi,Gary Farmer,Jon Gries,0,12000,580,482.0,14620,266,0,1435,17,13.0,6.1
654,Excessive Force ,1993,Action,English,USA,R,87,1.85,3000000.0,1200000.0,Jon Hess,Burt Young,Ian Gomez,Thomas Ian Griffith,29,683,155,147.0,1139,107,1,922,23,19.0,5.1
655,Gettysburg ,1993,Drama|History|War,English,USA,PG,271,1.85,25000000.0,10769960.0,Ron Maxwell,Tom Berenger,William Morgan Sheppard,James Patrick Stuart,33,854,702,251.0,2107,0,0,21940,256,22.0,7.7
656,Groundhog Day ,1993,Comedy|Fantasy|Romance,English,USA,PG,101,1.85,14600000.0,70906973.0,Harold Ramis,Bill Murray,Chris Elliott,Willie Garson,11000,13000,571,512.0,15500,38000,1,437418,609,147.0,8.1
657,Hocus Pocus ,1993,Comedy|Family|Fantasy,English,USA,PG,96,1.85,28000000.0,39514713.0,Kenny Ortega,Vinessa Shaw,Omri Katz,Larry Bagby,197,580,336,115.0,1275,16000,0,60494,132,36.0,6.7
658,Jason Goes to Hell: The Final Friday ,1993,Fantasy|Horror|Thriller,English,USA,R,91,1.85,2500000.0,15935068.0,Adam Marcus,Kane Hodder,Leslie Jordan,Erin Gray,18,935,805,307.0,2899,949,0,19331,317,112.0,4.3
659,Jurassic Park ,1993,Adventure|Sci-Fi|Thriller,English,USA,PG-13,127,1.85,63000000.0,356784000.0,Steven Spielberg,Wayne Knight,Ariana Richards,Bob Peck,14000,967,610,191.0,2129,19000,0,613473,895,308.0,8.1
660,Killing Zoe ,1993,Crime|Drama|Thriller,English,France,R,99,1.85,1500000.0,418953.0,Roger Avary,Eric Stoltz,Salvator Xuereb,Jean-Hugues Anglade,675,902,424,164.0,1582,853,0,17322,93,37.0,6.5
661,Last Action Hero ,1993,Action|Adventure|Comedy|Fantasy,English,USA,PG-13,130,2.35,70000000.0,50016394.0,John McTiernan,F. Murray Abraham,Tom Noonan,Joan Plowright,323,670,442,330.0,2407,0,1,106528,257,80.0,6.2
662,Les visiteurs ,1993,Comedy|Fantasy|Sci-Fi,French,France,R,107,2.35,50000000.0,700000.0,Jean-Marie Poiré,Christian Clavier,Isabelle Nanty,Valérie Lemercier,8,106,54,39.0,215,0,1,24438,78,16.0,7.0
663,Loaded Weapon 1 ,1993,Action|Comedy|Crime,English,USA,PG-13,84,1.85,8200000.0,27979400.0,Gene Quintano,Jon Lovitz,Lin Shaye,Bill Nunn,0,11000,852,182.0,12322,0,2,37611,72,19.0,6.1
664,Madadayo ,1993,Drama,Japanese,Japan,,134,1.85,11900000.0,48856.0,Akira Kurosawa,Tatsuo Matsumura,Tetsu Watanabe,Akira Terao,0,15,6,4.0,30,355,0,3466,40,25.0,7.5
665,Menace II Society ,1993,Crime|Drama|Thriller,English,USA,R,97,1.85,3500000.0,27900000.0,Albert Hughes,Jada Pinkett Smith,Larenz Tate,Khandi Alexander,117,851,582,556.0,3036,0,2,39508,96,28.0,7.5
666,Mrs. Doubtfire ,1993,Comedy|Drama|Family|Romance,English,USA,PG-13,125,2.35,25000000.0,219200000.0,Chris Columbus,Robin Williams,Mara Wilson,Matthew Lawrence,0,49000,1000,711.0,52201,0,5,181380,223,57.0,6.9
667,Much Ado About Nothing ,1993,Comedy|Drama|Romance,English,UK,PG-13,111,1.85,8000000.0,22551000.0,Kenneth Branagh,Keanu Reeves,Denzel Washington,Brian Blessed,0,18000,18000,591.0,37645,0,0,37269,165,41.0,7.4
668,Nowhere to Run ,1993,Action|Crime|Drama|Romance|Thriller,English,USA,R,94,1.85,15000000.0,22189039.0,Robert Harmon,Kieran Culkin,Rosanna Arquette,Joss Ackland,11,1000,605,232.0,2210,466,0,17074,55,25.0,5.5
669,Only the Strong ,1993,Action|Drama,English,USA,PG-13,99,1.85,6000000.0,3273588.0,Sheldon Lettich,Antoni Corone,Ryan Bollman,Todd Susman,23,97,91,82.0,382,0,1,4195,50,17.0,6.7
670,Philadelphia ,1993,Drama,English,USA,PG-13,125,1.85,26000000.0,77324422.0,Jonathan Demme,Denzel Washington,Tom Hanks,Jason Robards,438,18000,15000,372.0,33865,0,2,178731,261,68.0,7.7
671,Poetic Justice ,1993,Drama|Romance,English,USA,R,109,1.85,14000000.0,27515786.0,John Singleton,Janet Jackson,Khandi Alexander,Maya Angelou,309,592,556,279.0,1620,0,0,8904,31,12.0,5.9
672,Return of the Living Dead III ,1993,Horror|Romance|Sci-Fi,English,USA,R,97,1.85,2000000.0,,Brian Yuzna,Melinda Clarke,Kent McCord,Sarah Douglas,97,787,196,163.0,1362,810,1,10182,130,46.0,5.9
673,RoboCop 3 ,1993,Action|Crime|Sci-Fi|Thriller,English,USA,PG-13,104,1.85,23500000.0,10696210.0,Fred Dekker,CCH Pounder,Rip Torn,Mako,87,1000,826,691.0,3148,716,0,35018,180,75.0,3.9
674,Romeo Is Bleeding ,1993,Action|Crime|Drama|Thriller,English,UK,R,100,1.85,11500000.0,3275585.0,Peter Medak,Gary Oldman,Michael Wincott,Lena Olin,34,10000,721,541.0,13160,561,1,10735,88,30.0,6.6
675,Ruby in Paradise ,1993,Drama|Romance,English,USA,R,114,1.85,800000.0,1001437.0,Victor Nunez,Allison Dean,Todd Field,Dorothy Lyman,9,159,143,86.0,423,81,1,2039,28,11.0,7.2
676,Schindler's List ,1993,Biography|Drama|History,English,USA,R,185,1.85,22000000.0,96067179.0,Steven Spielberg,Liam Neeson,Embeth Davidtz,Caroline Goodall,14000,14000,795,212.0,15233,41000,0,865020,1273,174.0,8.9
677,Shadowlands ,1993,Biography|Drama|Romance,English,UK,PG,115,2.35,22000000.0,25842000.0,Richard Attenborough,Anthony Hopkins,James Frain,Julian Fellowes,0,12000,1000,266.0,13619,2000,0,13455,87,23.0,7.4
678,Sugar Hill ,1993,Drama|Thriller,English,USA,R,123,1.85,10000000.0,18272447.0,Leon Ichaso,Khandi Alexander,Clarence Williams III,Steve Harris,5,556,475,338.0,2149,331,1,3119,35,14.0,5.9
679,Super Mario Bros. ,1993,Adventure|Comedy|Family|Fantasy|Sci-Fi,English,UK,PG,104,1.85,42000000.0,20915465.0,Annabel Jankel,Bob Hoskins,Fisher Stevens,Fiona Shaw,5,5000,922,687.0,7723,0,0,38203,290,36.0,4.0
680,Teenage Mutant Ninja Turtles III ,1993,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,English,USA,PG,96,1.85,17000000.0,42660000.0,Stuart Gillard,Paige Turco,John Aylward,Matt Hill,8,533,219,199.0,1254,1000,0,25086,87,60.0,4.8
681,The Adventures of Huck Finn ,1993,Adventure|Comedy|Drama|Family,English,USA,PG,108,1.85,6500000.0,24103594.0,Stephen Sommers,Curtis Armstrong,Frances Conroy,Anne Heche,208,876,827,689.0,4840,391,0,6384,54,14.0,6.2
682,The Age of Innocence ,1993,Drama|Romance,English,USA,PG,139,2.35,30000000.0,32000000.0,Martin Scorsese,Richard E. Grant,Geraldine Chaplin,Stuart Wilson,17000,554,382,94.0,1068,0,3,36267,150,56.0,7.2
683,The Firm ,1993,Drama|Mystery|Thriller,English,USA,R,154,1.85,42000000.0,158348400.0,Sydney Pollack,Tom Cruise,Holly Hunter,Wilford Brimley,521,10000,1000,957.0,14244,0,0,88844,142,56.0,6.8
684,The Fugitive ,1993,Action|Adventure|Crime|Drama|Mystery|Thriller,English,USA,PG-13,130,1.85,44000000.0,183875760.0,Andrew Davis,Harrison Ford,Daniel Roebuck,Sela Ward,99,11000,1000,812.0,13357,0,1,213668,270,119.0,7.8
685,The Nutcracker ,1993,Family|Fantasy|Music,English,USA,G,92,1.85,19000000.0,2119994.0,Emile Ardolino,Darci Kistler,Kyra Nichols,Margaret Tracey,22,2,0,0.0,2,238,0,1153,15,10.0,5.7
686,The Pelican Brief ,1993,Crime|Drama|Mystery|Thriller,English,USA,PG-13,141,2.35,45000000.0,100768056.0,Alan J. Pakula,Denzel Washington,Julia Roberts,Tony Goldwyn,79,18000,8000,956.0,30063,0,0,59569,89,43.0,6.5
687,The Piano ,1993,Drama|Music|Romance,English,New Zealand,R,121,1.85,7000000.0,40158000.0,Jane Campion,Holly Hunter,Ian Mune,Geneviève Lemon,319,1000,18,11.0,1051,0,1,63931,241,83.0,7.6
688,The Princess and the Cobbler ,1993,Action|Adventure|Animation|Comedy|Fantasy,English,UK,G,80,2.35,28000000.0,669276.0,Richard Williams,Donald Pleasence,Kenneth Williams,Clive Revill,18,742,83,73.0,1088,408,0,2541,47,10.0,7.2
689,The Remains of the Day ,1993,Drama|Romance,English,UK,PG,134,2.35,11500000.0,22954968.0,James Ivory,Anthony Hopkins,Peter Vaughan,Ben Chaplin,133,12000,310,258.0,12749,0,1,45703,156,58.0,7.9
690,Tombstone ,1993,Action|Biography|Drama|History|Romance|Western,English,USA,R,134,2.35,25000000.0,56505065.0,George P. Cosmatos,Michael Biehn,Dana Delany,Powers Boothe,170,2000,722,472.0,4453,11000,0,95241,439,84.0,7.8
691,True Romance ,1993,Action|Crime|Drama|Romance|Thriller,English,USA,R,121,2.35,13000000.0,12281500.0,Tony Scott,Brad Pitt,Gary Oldman,Michael Rapaport,12000,11000,10000,975.0,23602,15000,3,163492,460,122.0,8.0
692,Warlock: The Armageddon ,1993,Fantasy|Horror,English,USA,R,98,1.66,3000000.0,3902679.0,Anthony Hickox,Julian Sands,Zach Galligan,Paula Marshall,16,687,233,222.0,1806,217,0,3943,49,22.0,5.3
693,What's Eating Gilbert Grape ,1993,Drama|Romance,English,USA,PG-13,118,1.85,11000000.0,9170214.0,Lasse Hallström,Johnny Depp,Leonardo DiCaprio,Kevin Tighe,529,40000,29000,472.0,69746,14000,1,171882,292,80.0,7.8
694,What's Love Got to Do with It ,1993,Biography|Drama|Music,English,USA,R,118,1.85,,39100956.0,Brian Gibson,Rae'Ven Kelly,Virginia Capers,Dororthy Thorton,13,90,22,2.0,114,0,0,13442,59,19.0,7.2
695,3 Ninjas Kick Back ,1994,Action|Comedy|Family,English,USA,PG,93,1.85,20000000.0,11784000.0,Charles T. Kanganis,Victor Wong,Dustin Nguyen,Don Stark,18,400,220,181.0,1151,444,0,6701,26,5.0,4.3
696,A Low Down Dirty Shame ,1994,Action|Comedy|Crime,English,USA,R,100,1.85,10000000.0,29392418.0,Keenen Ivory Wayans,Jada Pinkett Smith,Salli Richardson-Whitfield,Charles S. Dutton,322,851,543,534.0,3190,368,2,3924,26,8.0,5.8
697,Ace Ventura: Pet Detective ,1994,Comedy,English,USA,PG-13,78,1.85,12000000.0,72217000.0,Tom Shadyac,Sean Young,Udo Kier,David Margulies,293,759,595,567.0,2462,0,1,216486,242,61.0,6.9
698,Baby's Day Out ,1994,Adventure|Comedy|Crime|Drama|Family,English,USA,PG,99,1.85,50000000.0,16671505.0,Patrick Read Johnson,Joe Mantegna,Lara Flynn Boyle,Cynthia Nixon,32,1000,619,479.0,2949,0,1,33186,78,22.0,5.9
699,Beverly Hills Cop III ,1994,Action|Comedy|Crime|Thriller,English,USA,R,104,1.85,55000000.0,42610000.0,John Landis,Louis Lombardi,Jon Tenney,Gilbert R. Hill,644,437,289,174.0,1093,669,1,60293,114,36.0,5.5
700,Bullets Over Broadway ,1994,Comedy|Crime,English,USA,R,98,1.85,20000000.0,13383737.0,Woody Allen,Jim Broadbent,Chazz Palminteri,Dianne Wiest,11000,1000,979,967.0,4302,979,4,29385,86,67.0,7.5
701,Clear and Present Danger ,1994,Action|Crime|Drama|Thriller,English,USA,PG-13,141,2.35,62000000.0,122012710.0,Phillip Noyce,Harrison Ford,Dean Jones,Raymond Cruz,176,11000,913,672.0,14178,0,1,69663,133,42.0,6.9
702,Clerks ,1994,Comedy,English,USA,R,102,1.37,230000.0,3151130.0,Kevin Smith,Jason Mewes,Brian O'Halloran,Jeff Anderson,0,898,657,216.0,2103,0,4,181749,615,136.0,7.8
703,Crooklyn ,1994,Comedy|Drama,English,USA,PG-13,115,1.85,14000000.0,13640000.0,Spike Lee,Alfre Woodard,Delroy Lindo,Isaiah Washington,0,1000,848,534.0,3267,905,0,6011,39,25.0,6.9
704,Disclosure ,1994,Drama|Thriller,English,USA,R,128,2.35,55000000.0,83000000.0,Barry Levinson,Demi Moore,Dylan Baker,Roma Maffia,272,2000,812,383.0,3888,0,0,36587,95,55.0,6.0
705,Don Juan DeMarco ,1994,Comedy|Drama|Romance,English,USA,PG-13,97,1.85,25000000.0,22200000.0,Jeremy Leven,Johnny Depp,Marlon Brando,Faye Dunaway,19,40000,10000,977.0,52122,0,3,41310,117,44.0,6.8
706,Dumb & Dumber ,1994,Comedy,English,USA,PG-13,113,1.85,16000000.0,127175354.0,Peter Farrelly,Lauren Holly,Mike Starr,Teri Garr,137,879,854,481.0,2985,0,2,288451,438,84.0,7.3
707,Ed Wood ,1994,Biography|Comedy|Drama,English,USA,R,127,1.85,18000000.0,5887457.0,Tim Burton,Johnny Depp,Bill Murray,Martin Landau,13000,40000,13000,940.0,56585,0,1,142416,420,148.0,7.9
708,Exotica ,1994,Drama|Mystery|Romance,English,Canada,R,103,1.85,2000000.0,5132222.0,Atom Egoyan,Bruce Greenwood,Mia Kirshner,Sarah Polley,460,991,971,900.0,2990,619,1,14112,83,53.0,7.2
709,Forrest Gump ,1994,Comedy|Drama,English,USA,PG-13,142,2.35,55000000.0,329691196.0,Robert Zemeckis,Tom Hanks,Siobhan Fallon Hogan,Sam Anderson,0,15000,294,194.0,15700,59000,0,1251222,1398,149.0,8.8
710,Four Weddings and a Funeral ,1994,Comedy|Drama|Romance,English,UK,R,117,1.66,4500000.0,52700832.0,Mike Newell,Kristin Scott Thomas,James Fleet,Simon Callow,179,1000,398,239.0,1862,0,4,107923,197,84.0,7.1
711,Heavenly Creatures ,1994,Biography|Crime|Drama|Romance|Thriller,English,New Zealand,R,108,2.35,5000000.0,3049135.0,Peter Jackson,Kate Winslet,Jed Brophy,Liz Mullane,0,14000,433,88.0,14574,0,2,50197,265,93.0,7.4
712,Highlander: The Final Dimension ,1994,Action|Fantasy|Romance|Sci-Fi,English,Canada,PG-13,99,2.35,26000000.0,13829734.0,Andrew Morahan,Christopher Lambert,Mako,Mario Van Peebles,5,1000,691,535.0,2960,319,0,16194,79,32.0,4.3
713,Hoop Dreams ,1994,Documentary|Drama|Sport,English,USA,PG-13,170,1.33,700000.0,7830611.0,Steve James,William Gates,Arthur Agee,Isiah Thomas,23,7,6,2.0,15,0,0,18980,74,53.0,8.3
714,Interview with the Vampire: The Vampire Chronicles ,1994,Drama|Fantasy|Horror,English,USA,R,123,1.85,60000000.0,105264608.0,Neil Jordan,Brad Pitt,Tom Cruise,Kirsten Dunst,277,11000,10000,4000.0,25697,11000,0,239752,406,120.0,7.6
715,Legends of the Fall ,1994,Drama|Romance|War|Western,English,USA,R,133,1.85,30000000.0,66528842.0,Edward Zwick,Anthony Hopkins,Brad Pitt,Julia Ormond,380,12000,11000,918.0,26388,11000,2,112175,329,57.0,7.5
716,Little Women ,1994,Drama|Family|Romance,English,USA,PG,115,1.85,15000000.0,50003300.0,Gillian Armstrong,Christian Bale,Kirsten Dunst,Eric Stoltz,44,23000,4000,902.0,29370,0,4,36624,132,27.0,7.3
717,Men of War ,1994,Action|Drama|Thriller,English,USA,R,76,2.35,8600000.0,,Perry Lang,Catherine Bell,Kevin Tighe,Tim Guinee,17,636,472,259.0,2152,176,1,2989,38,19.0,5.8
718,Naked Gun 33 1/3: The Final Insult ,1994,Comedy|Crime,English,USA,PG-13,83,1.85,30000000.0,51109400.0,Peter Segal,George Kennedy,Fred Ward,Priscilla Presley,88,3000,459,348.0,4767,1000,5,76850,85,43.0,6.4
719,New Nightmare ,1994,Fantasy|Horror|Mystery|Thriller,English,USA,R,107,1.85,8000000.0,18090181.0,Wes Craven,Miko Hughes,Heather Langenkamp,Tracy Middendorf,0,969,449,112.0,1775,0,0,38191,271,109.0,6.4
720,On Deadly Ground ,1994,Action|Adventure|Thriller,English,USA,R,101,2.35,50000000.0,38590500.0,Steven Seagal,Mike Starr,Joan Chen,Sven-Ole Thorsen,0,854,643,158.0,1860,812,1,17997,140,47.0,4.4
721,PCU ,1994,Comedy,English,USA,PG-13,79,1.85,8000000.0,4350774.0,Hart Bochner,Jon Favreau,Matt Ross,Chris Young,157,4000,248,219.0,4908,0,3,10476,52,15.0,6.5
722,Police Academy: Mission to Moscow ,1994,Comedy|Crime,English,USA,PG,83,1.85,6200000.0,126247.0,Alan Metter,Christopher Lee,Michael Winslow,G.W. Bailey,3,16000,542,421.0,17469,321,0,24958,103,17.0,3.3
723,Pulp Fiction ,1994,Crime|Drama,English,USA,R,178,2.35,8000000.0,107930000.0,Quentin Tarantino,Bruce Willis,Eric Stoltz,Phil LaMarr,16000,13000,902,857.0,16557,45000,1,1324680,2195,215.0,8.9
724,Rapa Nui ,1994,Action|Adventure|Drama|History|Romance,English,USA,R,107,2.35,20000000.0,305070.0,Kevin Reynolds,Esai Morales,Jason Scott Lee,Sandrine Holt,58,699,533,324.0,1592,399,1,3843,25,9.0,6.4
725,Renaissance Man ,1994,Comedy|Drama,English,USA,PG-13,128,1.85,40000000.0,24332324.0,Penny Marshall,Ed Begley Jr.,Cliff Robertson,Lillo Brancato,545,783,754,353.0,3126,680,1,13830,61,12.0,6.1
726,Ri¢hie Ri¢h ,1994,Comedy|Family,English,USA,PG,95,1.85,40000000.0,38087756.0,Donald Petrie,Macaulay Culkin,John Larroquette,Jonathan Hyde,80,3000,450,287.0,4634,0,1,49612,39,19.0,5.2
727,Serial Mom ,1994,Comedy|Crime|Thriller,English,USA,R,95,1.66,13000000.0,7881335.0,John Waters,Kathleen Turner,Sam Waterston,Traci Lords,0,899,849,650.0,3092,3000,4,21212,107,52.0,6.7
728,Speed ,1994,Action|Adventure|Crime|Thriller,English,USA,R,116,2.35,25000000.0,121248145.0,Jan de Bont,Keanu Reeves,Alan Ruck,Joe Morton,101,18000,946,780.0,20966,0,0,260981,373,114.0,7.2
729,Star Trek: Generations ,1994,Action|Adventure|Mystery|Sci-Fi|Thriller,English,USA,PG,118,2.35,35000000.0,75668868.0,David Carson,LeVar Burton,Alan Ruck,Jonathan Frakes,18,1000,946,906.0,6427,0,0,60504,249,98.0,6.6
730,Street Fighter ,1994,Action|Adventure|Comedy|Thriller,English,Japan,PG-13,102,2.35,35000000.0,33423521.0,Steven E. de Souza,Ming-Na Wen,Raul Julia,Kylie Minogue,133,2000,1000,690.0,5443,0,1,53115,282,63.0,3.8
731,The Client ,1994,Crime|Drama|Mystery|Thriller,English,USA,PG-13,119,2.35,45000000.0,92115211.0,Joel Schumacher,Bradley Whitford,Anthony LaPaglia,Brad Renfro,541,821,577,551.0,4043,1000,3,45798,94,39.0,6.7
732,The Crow ,1994,Action|Drama|Fantasy,English,USA,R,98,1.85,23000000.0,50693162.0,Alex Proyas,Michael Wincott,Bai Ling,David Patrick Kelly,295,720,581,380.0,2630,15000,0,136580,545,118.0,7.6
733,The Flintstones ,1994,Comedy|Family|Fantasy,English,USA,PG,91,1.33,45000000.0,130512915.0,Brian Levant,Jonathan Winters,Elizabeth Perkins,Harvey Korman,32,924,664,628.0,3244,0,2,60884,85,35.0,4.8
734,The Hudsucker Proxy ,1994,Comedy|Fantasy,English,UK,PG,111,1.85,30000000.0,2869369.0,Joel Coen,Jennifer Jason Leigh,Bill Cobbs,John Mahoney,0,1000,970,385.0,2612,0,2,65474,211,77.0,7.3
735,The Inkwell ,1994,Comedy|Drama|Romance,English,USA,R,110,1.85,,8880705.0,Matty Rich,Jada Pinkett Smith,Joe Morton,Larenz Tate,10,851,780,582.0,3293,160,0,1103,11,7.0,6.5
736,The Legend of Drunken Master ,1994,Action|Comedy,Cantonese,Hong Kong,R,102,2.35,2000000.0,11546543.0,Chia-Liang Liu,Andy Lau,Anita Mui,Ho-Sung Pak,32,483,147,75.0,768,0,1,34520,146,77.0,7.6
737,The Lion King ,1994,Adventure|Animation|Drama|Family|Musical,English,USA,G,73,1.66,45000000.0,422783777.0,Roger Allers,Matthew Broderick,Nathan Lane,Niketa Calame,28,2000,886,847.0,6458,17000,0,644348,656,186.0,8.5
738,The Mask ,1994,Action|Comedy|Crime|Fantasy,English,USA,PG-13,114,1.85,18000000.0,119938730.0,Chuck Russell,Peter Greene,Amy Yasbeck,Reg E. Cathey,55,789,424,360.0,2085,0,0,265818,213,57.0,6.9
739,The River Wild ,1994,Action|Adventure|Crime|Thriller,English,USA,PG-13,111,2.35,45000000.0,46815748.0,Curtis Hanson,Meryl Streep,Glenn Morshower,William Lucking,161,11000,894,132.0,12161,0,1,32544,69,42.0,6.3
